아이디,비밀번호,이름,이메일,전화번호
id,pw,name,email,tel,courseSaved,courseApplied,corsesAttending
nams93627,636793,남어진,nams93627@naver.com,010-6424-9627
secondMan,24680,이반재,,010-2222-8888
trd333,1234,조삼석,,010-3333-7777
user_4831Z,1234,이지은,,
neo17beta,1234,박서준,,
3dfGz91P,1234,최수영,,
qwerty_729,1234,정현우,,
Zx8vLm23,1234,강혜진,,
alpha_c7x,1234,윤지훈,,
99delta_oo,1234,한서연,,
b7g4Xp2q,1234,송민석,,
mystic001,1234,신해원,,
tkL94e2W,1234,임다은,,
foxrun398,1234,백준호,,
Yz1Km57x,1234,황예지,,
04orbitXx,1234,오승현,,
Wp9Nta37,1234,장미경,,
x9Lk82mA,1234,김민준,,
